Class,Content,ID,Platform
politics,الكاتب والمحلل السياسي عمر عياصرة: هناك توافق بين #تركيا والولايات المتحدة فيما يخص العملية العسكرية في شمال شرق #سوريا ,812386155471598_1598847540158785,facebook
crime-war-conflict,RT @AJABreaking: عاجل | لجنة الأسرى التابعة للحوثيين: طيران التحالف استهدف أحد السجون الخاصة بالأسرى في كلية المجتمع بمحافظة ذمار,1084781926861492226,twitter
politics,"""صانع المشكلات"".. من هو القيادي بحركة الجهاد الإسلامي بهاء أبو العطا؟ ",1205522779770171392,twitter
politics,RT @AJABreaking: عاجل | قوى الحرية والتغيير في #السودان تقول إنها ستعلن حكومة تتولى السلطات الانتقالية في مؤتمر صحفي بعد أيام,1120038024316903436,twitter
health,"""سرطان الثدي هو أبسط مرض لكن عند الست صعب كتير""
 هل يساعد الثدي الصناعي المرأة لتتغلب على هذه الصعوبة؟",812386155471598_1331569216886620,facebook
crime-war-conflict,انسحاب الحوثيين من موانئ #الحديدة.. هل تنتشل هذه الخطوة الاتفاق المتعثر منذ شهور، وتنعش الآمال بأن تنتهي الحرب الدائرة منذ أربع سنوات؟ ,1135392613606088709,twitter
politics,"""بروح لأشكي همي بلاقي هم غيري أكبر مني""
امرأة مصابة بالسرطان تحكي قصتها في #قصة_إنسان من إحدى ساحات الاعتصام في لبنان ",1215665674007334914,twitter
sports,#شاهد | مراسلة #الجزيرة تقفز من سماء #موسكو التي تستضيف بطولة العالم للقفز بالمظلات,1119939014403002368,twitter
others,@emujawaz1 كلام مهم.. شكراً على مشاركتنا وإثراء الموضوع,1174811518740901888,twitter
crime-war-conflict,"RT @AJABreaking: عاجل | لجنة أطباء #السودان: قوات من الشرطة والدعم السريع تقتحم مستشفى ""رويال كير"" بالقرب من مكان الاعتصام",1142708616056713216,twitter
politics,"#للقصة_بقية | كيف تتعامل الحكومة البريطانية مع جرائم الكراهية التي تستهدف المسلمين وتهدد النسيج الاجتماعي هناك؟ 
يأتيكم الاثنين في الساعة 22:05 بتوقيت مكة المكرمة ",1160566543362560001,twitter
crime-war-conflict,#ما_وراء_الخبر – دلالات شكوى محافظ #شبوة بشأن استفزازات القوات الإماراتية للجيش الوطني اليمني في المحافظة ومطالبته بوقف تلك الاستفزازات ,1213207969543921664,twitter
politics,"""المشاركة في حملات المقاطعة تدخل ضمن نطاق حرية التعبير"" 
قاضٍ فدرالي في ولاية تكساس يقرر وقف تنفيذ قانون يتيح للأطراف في عقود العمل المطالبة بالتعهد بعدم المشاركة في حملات مقاطعة إسرائيل عقب دعوى قضائية ضد هذا القانون..
موظفون في 🇺🇸 تضرروا بسبب هذا القانون
",812386155471598_1608491509194388,facebook
politics,#ما_وراء_الخبر - آفاق التصعيد والتهدئة في #العراق على ضوء اجتماع لجنة الأمن والدفاع النيابية الاستثنائي مع القيادات الأمنية لمناقشة قتل المتظاهرين ,jV_jAGMXb34,youtube
human-rights-press-freedom,"""هل يمكن وضع جذع خاشقجي في الحقيبة؟""، تفاصيل دموية يكشفها تقرير أممي عن جريمة القنصلية
#الجزيرة▶️حقوق
#الجزيرة▶️السعودية",hvjWVpozur0,youtube
politics,RT @AJABreaking: عاجل | مشروع القرار يدعو المجلس الأوروبي إلى اتخاذ موقف مشترك لفرض حظر أوروبي على تصدير الأسلحة للسعودية,1095740073373507585,twitter
environment,"@abdelhamed01000 هل شاهدت قصتنا عن التغير المناخي.. وكيف سيؤثر علينا في السنوات القادمة؟
تحديداً بعد الدقيقة الثانية ستجد مقطعاً يتحدث عن تأثير ذوبان الجليد
",1196680756204048384,twitter
politics,"""ألا تبدو الثورات من #الجزائر حتى #العراق وكأنها تدار من غرفة عمليات واحدة؟""
شاهد مقدمة #الاتجاه_المعاكس مع فيصل القاسم
رابط الحلقة:  https://t.co/EAiq7F3pnw ",X8ktmjvl3hs,youtube
politics,RT @AJABreaking: عاجل | الرئيس الإيراني: لم نفوت يوما فرصة للتفاوض والحوار  ولن نفوت أي فرصة في المستقبل,812386155471598_1095667933810084,facebook
crime-war-conflict,RT @AJABreaking: عاجل | قوات الأمن البحرينية تطلق الغاز المسيل للدموع لتفريق مظاهرة للاحتجاج على إعدام مواطنين أمس,812386155471598_1124803214229889,facebook
others,"@fatmaabdelalim أكيد. يمكنكِ التواصل معها، فاطمة.
راسلناك على الخاص للتو ونشكركِ على تفاعلكِ معنا.",812386155471598_1085194938190717,facebook
politics,RT @AJABreaking: عاجل | أسوشيتد برس: واشنطن تصدر تحذيرا لسفنها بالشرق الأوسط من احتمال التعرض لهجمات إيرانية,1215926346515435520,twitter
others,"#شاهد | طائرة صغيرة تهبط اضطراريا بدون إحدى العجلات في مطار #فلوريدا وتنجو بأعجوبة
المصدر: رويترز 
#الجزيرة",1144319487136718853,twitter
politics,"وزير الخارجية البريطاني: الرئيس #ترامب جعل من اختصاصه التحدث عما يجري في العالم إما بالأسود تماما أو بالأبيض تماما
",1078840569923858432,twitter
sports,"""لم أُرد يوماً أن يُختصر كياني في مظهري فقط، ففي النهاية ما يهم في الرياضة هو الأداء""
ملاكمة ألمانية محجبة تحرز ألقاباً وتقاتل من أجل حقها في ارتداء الحجاب ",812386155471598_2239925949384271,facebook
sports,"""إحنا حنجيب مدربين من برّا تاني وللا..؟""
السيسي يجيب على تساؤلات حول اختيار المدرب الجديد للفريق المصري.. من البديل؟ ",WyQDJyHI3Dc,youtube
health,"4.2 مليون حالة وفاة مبكرة سنوياً .. والبعض لا يريد تصديق الوقائع.
خطر يهدد العالم بأسره. ما الحل؟",812386155471598_1326419507401591,facebook
crime-war-conflict,صور من سلسلة التفجيرات التي استهدفت كنائس وفنادق في #سريلانكا ,1119863108896481280,twitter
politics,RT @AJABreaking: عاجل | رؤساء وزراء لبنانيون سابقون: نطالب الرئيس اللبناني بوقف هذه المهزلة والعودة فورا لاحترام الدستور وما ينص عليه,epozwdRa4pE,youtube
crime-war-conflict,RT @AJABreaking: عاجل | مصادر محلية للجزيرة: إسرائيل تطلق قنابل مضيئة في سماء محافظة القنيطرة عند الحدود مع الجولان السوري المحتل,nBlc92VZB1o,youtube
others,@RAN__yah لمَ لا؟ فكرة جيدة. سنقوم بالتواصل مع زملائنا في @ajplus وتمرير مقترحك لهم.,RqWm8pzAGhU,youtube
politics,المرشد الإيراني: لا يمكن الوثوق في بريطانيا وألمانيا وفرنسا بشأن الاتفاق النووي وضغوطهم على #إيران لن يكون لها تأثير ,nDGx08tiStU,youtube
politics,"الملك سلمان يجري اتصالاً بالرئيس التركي، مؤكداً على العلاقة الأخوية الصلبة بين السعودية وتركيا
لكن.. ماذا تعرفون عن توتر العلاقات بين البلدين؟ ",1167133504909520898,twitter
politics,RT @AJABreaking: عاجل | رئيس المجلس العسكري بالسودان: التوتر سببه التأخير في توقيع اتفاق المرحلة الانتقالية وننتظر الطرف الآخر,1055866654670766080,twitter
politics,"الجواز الإماراتي يزيح السنغافوري من قمة الأقوى عالمياً
كن جزءاً من مجتمعنا  https://goo.gl/31qzyH  سنغافورة، هذه الجزيرة الصغيرة، كانت جزءاً من الاتحاد الماليزي عام 1963 ولكن بعد عامين فقط تخلت عنها ماليزيا لتصبح دولة مستقلة تتكون من لغات وثقافات وعرقيات مختلفة. في عام 2017 أصبحت أول دولة آسيوية تحمل جواز السفر الأقوى في العالم. كيف استطاعت تحقيق ذلك؟  إعداد وتقديم: ضحى أبو سماقة مونتاج: مهدي الريمي تصوير: مؤمن البناني هندسة الصوت: حمزة التابعي  لمتابعتنا على  https://twitter.com/ajplusarabi https://www.facebook.com/ajplusarabi موقعنا: http://ajplus.net/arabi
'الكلينيك' برنامج كاميرا خفية تونسي يرهب ضيوفه ويثير موجة استنكار لدى المشاهدين، ورواد مواقع التواصل يشككون في مصداقيته",ACJNnM_CwJQ,youtube
politics,عاجل | وزير الداخلية اليمني يدعو القوى الأمنية إلى تأمين منازل وأملاك القيادات المؤيدة للمجلس الانتقالي,812386155471598_1104033262973551,facebook
politics,"""هؤلاء القضاة الذين يصدرون هذه الأحكام البشعة هم خدم الاستبداد""
شاهدوا ما قاله الرئيس التونسي السابق عن أحكام الإعدام في قضية رابعة:",812386155471598_690691654628644,facebook
politics,أطفال فلسطين، يلعبون على حطام منازلهم.. يتنزهون في مراكز الاحتجاز.. ويمضون الليالي في أحضان معتقلات الاحتلال الإسرائيلي..!,812386155471598_1664589013584637,facebook
science-and-technology,@hanan42523797 نعم حنان. أصبح واتساب تابعاً لفيسبوك منذ العام 2014 يا صديقتنا,1194157630119403520,twitter
politics,"RT @ajanet_ar: رفض الانتهاكات
رغم وجود مناخ من ""التخوين والتخويف"" تُمارسه السلطات المصرية، القطاع العمالي والمهني يتحدى لتنظيم فعالياته وفق…",1123931820939149312,twitter
crime-war-conflict,"""قيدوهم ببعض، وحفروا حفرة وأطلقوا النار عليهم… كانت هناك 61 جثة و3 حالات اغتصاب""
بعض مما يحاول الاحتلال دفنه في تحقيق صادم لصحيفة إسرائيلية..",56vplav2uSQ,youtube
others,@bullshit353 ما الأسباب التي تجعلك تحتاج إلى سجن نفسك؟,J6U2yFEZHpY,youtube
human-rights-press-freedom,"#شاهد | #للقصة_بقية - الحراقة وحلم الهجرة
",1155969390875037705,twitter
politics,توافق بين قوى الحرية والتغيير والمجلس العسكري السوداني بشأن معظم بنود الوثيقة الدستورية وتأكيد بأن يوم غد سيكون نهاية التفاوض بالصورة التي تمكن الأطراف من إقامة حكومة مدنية خلال أيام ,812386155471598_1157247774318766,facebook
crime-war-conflict,"""إعلان النائب العام السعودي يحمل في طياته ما ينسف المحاكمة من أساسها والتحقيق من أساسه...""
تعليق الحقوقي عبد المجيد مراري على مستجدات قضية #خاشقجي ",1187926826225586177,twitter
politics,"سفارة #السعودية بواشنطن تواجه تهمة جديدة.. تهريب طالب قتل فتاة أميركية
https://t.co/gFhN0bvm6S ",1077587329278230528,twitter
others,@ABDO58035684 ماذا عن صلاح وبلماضي؟ هل تعتبر حظوظهما ضعيفة بنيل الجائزة؟,1207928912501772288,twitter
art-and-entertainment,"""محمد سلام"" شاب فلسطيني يستخدم أعواد الثقاب في صنع مجسمات تعبر عن معاناة #غزة
#الجزيرة 
@ajasabah",1188563898359799808,twitter
art-and-entertainment,"أثار موجة من الانتقادات والمطالبات بوقف بثه في #الأردن.. شركة #نتفليكس تبدأ إنتاجها العربي بمسلسل ""جن""، هل شاهدت حلقته الأولى؟ وهل تتفق مع موجة السخط التي أثارها؟ ",1147758368163057665,twitter
business-and-economy,عاجل | ترمب: الولايات المتحدة ملتزمة بعقد اتفاق تجاري هائل مع المملكة المتحدة بمجرد خروجها من الاتحاد الأوروبي,1128563162725474304,twitter
human-rights-press-freedom,"أطفالٌ بسلاسل وأغلال في إحدى المدارس النيجيرية.. إليكم قصتهم
#الجزيرة▶️حقوق",YYUlbsxq1kw,youtube
crime-war-conflict,"#شاهد | مظاهرة في #لندن بمشاركة الممثلة البريطانية كاري موليغان للمطالبة بوقف نزيف الدم في #سوريا.
#الجزيرة",812386155471598_1648046758572196,facebook
politics,"#انزل_انت_مش_لوحدك هاشتاغ جديد في #مصر يحمل دعوات متزايدة للاحتجاج على حكم #السيسي يوم الجمعة القادم
#نشرتكم ",1176307763481370625,twitter
crime-war-conflict,@Adam_zol تم تهريب الأدوات إلى داخل السجن، والشرطة تحقق في الأمر لمعرفة كافة المشاركين في محاولة الهرب,1197087184437858304,twitter
others,"""كنت سأواصل البحث عنها حتى أموت""
أم فيتنامية عاشت تحت تأنيب الضمير لأكثر من 40 عاماً قبل أن تلتقي ابنتها أخيراً ",cnOxF62z3_k,youtube
sports,#شاهد | اللاعب الجزائري بغداد بونجاح يرفع صورة الطفل الشهيد #علي_دوابشه الذي أحرق حيا من طرف مستوطن إسرائيلي، بعد تسجيله هدف الانتصار لفريقه النجم الساحلي التونسي,1170333753656434690,twitter
crime-war-conflict,RT @AJABreaking: عاجل | منسق الشؤون الإنسانية في الأمم المتحدة: غارات النظام السوري على #إدلب دمرت المنشآت الطبية,1129387055698665472,twitter
crime-war-conflict,عاجل | وسائل إعلام إسرائيلية: سماع دوي انفجارات ضخمة قرب حمص وسط #سوريا وإطلاق الدفاعات الجوية السورية,1162106190748409857,twitter
others,@afifahaddad143 جميل جداً حبك لنفسك يا عفيفة 😂,812386155471598_1943456079031261,facebook
human-rights-press-freedom,"البابا التقى السيسي لدى وصوله إلى القاهرة ونصحه بضرورة الاحترام غير المشروط لحقوق الإنسان.. هل ترى في الصورة كثيرا من الود أم المجاملة؟
المصدر: رويترز
#الجزيرة",812386155471598_1764824276894443,facebook
science-and-technology,طورت الشركة كبسولات skydeck العام الماضي وتسعى لتسجيلها كبراءة اختراع,1153756672117993473,twitter
art-and-entertainment,"RT @AJTaamulat: البشر غير معصومين من اللحن فجَلَّ من لا يسهو
اكتشف بعض الأخطاء اللغوية التي يقع فيها الناس 
شاهدوا الحلقة كاملة على يوتيوب:…",2lqcVkYwvuc,youtube
politics,RT @AJABreaking: عاجل | ترمب يصدق على ميزانية الدفاع لعام 2020 وتتضمن قانون قيصر لحماية المدنيين السوريين,O3uHL2-N_kM,youtube
politics,إضراب عام يشل مدناً عراقية دعماً لمطالب إسقاط الحكومة وحل البرلمان وإجراء انتخابات مبكرة في البلاد.,1213062626017783808,twitter
others,@hureyaksa أهلاً، يسرنا إعجابكم ونشركم لقصصنا، لكن لو سمحتم، هل بإمكانكم إعادة التغريد بدل رفع الفيديو ونشره على حساباتكم؟,1160853431424303104,twitter
health,"#التدخين يقتل 170 ألف مصري سنويا

قال وزير الصحة والسكان المصري الدكتور عادل عدوي إن التدخين يقتل نحو 170 ألف مصري سنويا، وإن #مصر تعد ضمن أكبر عشر دول في العالم استهلاكا للتبغ، وذلك بحسب آخر إحصائيات حول اقتصاديات التبغ التي أجريت بالتعاون مع منظمة الصحة العالمية والاتحاد الدولي لمكافحة السل وأمراض الرئة.

مصدر الصورة: (أسوشيتد برس)
#المزيد في موقع #الجزيرة_نت 
Www.aljazeera.net",1161623547401428992,twitter
others,"أحد أعرق معالم باريس التاريخية التهمته النيران أمام مرأى الجميع..
السلطات تُخلي المباني القريبة وتنفي وقوع إصابات بشرية.. الرئيس يلغي نشاطه ويتوجه للموقع، ومسؤولون يقولون إن الحديث الآن عن سبب الحادث سابق لأوانه",H29Yjg3lRVk,youtube
politics,RT @AJABreaking: عاجل | بن صالح: عازم على تشكيل هيئة وطنية تشرف على إجراء الانتخابات بنزاهة وشفافية,1115694264690925568,twitter
crime-war-conflict,RT @AJABreaking: عاجل | مراسل #الجزيرة: غارة إسرائيلية على مواقع شرق مدينة غزة تسفر عن سقوط إصابات,812386155471598_1824778477565689,facebook
others,@aseef3 عزيزي الديوان.. نرجو منك مراسلتنا على الرسائل المباشرة لإعطائك بيانات التواصل مع السيدة فاطمة,0-jF4Cht0uw,youtube
others,@Robe3455 نتمنى أن يكون لديك الكثير من الهدايا قريباً عزيزتي، لا تحزني 🎁,812386155471598_1803591379684399,facebook
politics,"RT @AJAAboveAut: إعلام #السيسي ناقش الموت المفاجىء قبيل وفاة #مرسي.. #فوق_السلطة
الحلقة كاملة|  https://t.co/j6PqbEl…",1151383526312464384,twitter
health,"""أمهات حليب الشوكولاتة""
حملة اجتماعية للتشجيع على الرضاعة الطبيعية",1183468581629186049,twitter
health,"الأرز يُشعركم بالشبع ويحد من الإفراط في الأكل ولهذا يقيكُم السمنة 😯
شاهدوا الفيديو لمعرفة المزيد",ABGh9Oo35_U,youtube
crime-war-conflict,#إسرائيل توافق على بناء 6000 وحدة استيطانية بالضفة الغربية ,812386155471598_1149676255075918,facebook
human-rights-press-freedom,ترحيل الإعلامية اللبنانية ليليان داوود.. لماذا كل هذا؟,1051079603005976576,twitter
politics,RT @AJABreaking: عاجل | الحريري: العدوان الجديد مع التحليق الكثيف لطيران العدو فوق #بيروت والضواحي  يشكل تهديدا للاستقرار الاقليمي,1077908133731803137,twitter
crime-war-conflict,صور جديدة تدحض رواية #أبوظبي التي نفت حينها أيّ علاقة للحوثي بحادثة المطار عام 2018.. استعراض جديد لقدرات الحوثيين العسكرية أم تهديد آخر للتحالف الإماراتي-السعودي؟ ,1131681209833013249,twitter
politics,"RT @AJalmashaa: #المشاء | الكويت الستينات السبعينات
اليوم في الساعة 19:30 بتوقيت مكة المكرمة على شاشة #الجزيرة ",1182197551065419777,twitter
politics,#ما_وراء_الخبر| دلالات توجيه النيابة العامة السعودية لوائح اتهام للناشطات الحقوقيات في المملكة وإحالتهن وفقها للمحا… ,1101897475814641665,twitter
politics,RT @AJABreaking: عاجل | موغريني: لابد من مواصلة النقاش المنطقي بشأن الحفاظ على الاتفاق النووي وهذا الاجتماع ركز على ذلك,812386155471598_1032843290092549,facebook
politics,"أحزاب سودانية تلتحق بمظاهرات المواطنين في السودان..  
والنتيجة: اعتقالات وقمع",1186191492018311168,twitter
art-and-entertainment,"#كاريكاتير | #سوريا والعالم

المزيد من الرسوم على الرابط التالي:
http://www.aljazeera.net/caricature
#الجزيرة",1173937144194375680,twitter
politics,"رشيدة طليب: هناك أدلة قاطعة على ارتكاب ترامب جرائم عديدة
",1081472889176625152,twitter
environment,"خطر الجفاف يهدد أطفال إثيوبيا
موجة جفاف تصيب إثيوبيا تعتبر الأقوى منذ 30 عاماً بسبب التغيرات المناخية التي تسبب في قلة المحصول الزراعي ونفوق المواشي  إعداد: ريما عيتاني مونتاج: مصطفى خليل  لمتابعتنا على تويتر https://twitter.com/ajplusarabi للتواصل معنا على فيسبوك  https://www.facebook.com/ajplusarabi  لتصفح موقعنا الإلكتروني http://ajplus.net/arabi/ للاشتراك في قناتنا http://www.youtube.com/channel/UC-4KnPMmZzwAzW7SbVATUZQ?sub_confirmation=1",1145673683626803200,twitter
environment,RT @AJABreaking: عاجل | مراسل #الجزيرة: زلزال بقوة 5.7 يهز مدينة اسطنبول التركية ومركزه بحر مرمرة,1186176442595450880,twitter
others,"أماكن سياحية يمنع فيها التقاط صور سيلفي، هل تستطيع المقاومة؟
#الجزيرة➡️منوعات",1214984331065733120,twitter
politics,RT @AJABreaking: عاجل | مقررة الأمم المتحدة لحالات الإعدام خارج نطاق القانون: الأحكام الصادرة بحق قتلة خاشقجي تفتقد للعدالة,XSqyllCvAko,youtube
politics,RT @AJABreaking: عاجل | المتحدث باسم المجلس العسكري السوداني: عامل الوقت ليس في صالح كل الأطراف,1122893328490614784,twitter
politics,"RT @ajanet_ar: احتجاجات الإيرانيين بسبب زيادة سعر البنزين لا يعرف عنها العالم إلا القليل

",9jgdwnKhMX0,youtube
crime-war-conflict,عاجل | الرئيس التركي: هناك من يحاول التموضع في شرقي البحر المتوسط ونحن نمنع ذلك بشكل ملموس,1150430817300242432,twitter
others,"حان وقت الحركة لعمر أطول
أكدت دراسة تحليلية من مجلسة لينست الطبية أن ممارسة رياضة المشي السريع لمدة ساعة يومياً خلال العمل تقلص خطر الموت المبكر المرتبط بالعمل المكتبي.  إعداد: ضحى أبوسماقة مونتاج: قصي خضر  لمتابعتنا على تويتر https://twitter.com/ajplusarabi للتواصل معنا على فيسبوك  https://www.facebook.com/ajplusarabi  لتصفح موقعنا الإلكتروني http://ajplus.net/arabi/ للاشتراك في قناتنا http://www.youtube.com/channel/UC-4KnPMmZzwAzW7SbVATUZQ?sub_confirmation=1",u4j3E-84Cvo,youtube
politics,أكثر من خمسين منظمة حقوقية دولية وإقليمية تطالب بالإفراج الفوري عن المدافعين والمدافعات عن حقوق النساء في #السعودية ,1101587915493142529,twitter
politics,RT @AJABreaking: عاجل | وزير خارجية #ليبيا في رسالة لمجلس الأمن: نحمل الإمارات كامل المسؤولية ولن نسمح بالاستهانة بدماء الليبيين,1181960904235200512,twitter
science-and-technology,شركة #واتساب تحث المستخدمين على تحديث التطبيق بعد الثغرة الأمنية الخطيرة ,1135946056758431744,twitter
politics,عاجل | وزير الخارجية البريطاني: هذه لحظة فارقة لإيران واقتصادها على حافة الإنهيار,1119352471212699649,twitter
politics,RT @AJABreaking: عاجل | الأناضول: اللجنة العليا للانتخابات التركية تقرر إعادة الانتخابات المحلية في #اسطنبول,1133086455394390018,twitter
others,"""بي بي سي"" تكشف تفاصيل رواتب موظفيها وفجوة هائلة بين أجور الرجال والنساء.. شاهد كيف علق مذيعا النشرة على هذا الخبر في آخر الفيديو",812386155471598_1806889556021248,facebook
politics,"RT @ajanet_ar: الصحفيون الإسرائيليون أثاروا أسئلة حول طبيعة هذه الرحلة والمسؤولين المحتملين على متنها

",1187344927556014080,twitter
politics,"#شاهد| مئات اليمنيين من أصحاب الأنشطة التجارية يتظاهرون في نيويورك ضد قرارات #ترامب
#الجزيرة",1187996062663004160,twitter
spiritual,#إدلب.. القصف يخلي بيوت الله من زوارها في رمضان ,1128163026140635136,twitter
politics,"RT @ajanet_ar: الجيش السوداني يؤكد أنه ""الضامن لانتخابات حرة ونزيهة وشفافة ولا مصلحة له فيها"".. ما مصير المجلس السيادي إذًا؟

https://t.co/…",1132013959979180032,twitter
politics,RT @AJABreaking: عاجل | أنيس كالامار: لا شك لدي في أن هناك ضرورة لإجراء تحقيق واسع بشأن مقتل خاشقجي والسعودية مسؤولة عن ذلك,1153330346475380736,twitter
others,@ahmedsalah2024 اسم المطعم موجود في اللقطة الأولى من القصة يا أحمد :),1189909634510917637,twitter
spiritual,#القيروان - #تونس | مئات آلاف التونسيين يحتفلون بمناسبة #المولد_النبوي ويتدفّقون من كل جهات البلاد على عاصمة الأغالبة، ورئيس الجمهورية قيّس سعيّد يشارك ,0Gk4ze3sWoA,youtube
politics,"#البرد_قرصة_عقرب.. حملة للتضامن مع معتقلي سجن العقرب السيئ السمعة في #مصر بعد وفاة اثنين من المعتقلين بسبب البرد الشديد
#نشرتكم ",yHyVUaEBd98,youtube
others,"@OMawyha صديقنا عثمان.. نقلنا الخبر كما تداولته الصحافة العالمية. هذا أحد الروابط يمكنك الاطّلاع عليه:
",pFhNazZP2BI,youtube
politics,"7 سنوات على الثورة التونسية..
ثورة طردت الدولة البوليسية وسمحت بمزيد من الديمقراطية والحريات، ولكن للحرية والديمقراطية ثمناً باهظاً.
هل نستطيع القول إنها نجحت؟  🤔",1194227117283823616,twitter
health,@its27june لماذا اخترت وزارة الصحة يا صديقتنا؟,jt5iORhwumQ,youtube
environment,"#كيس_شيك في #جدة.. تحول الأكياس الضارة إلى منتجات مفيدة. ما رأيكم في هذه المبادرة؟
#الجزيرة▶️مرأة
#الجزيرة▶️السعودية
#الجزيرة▶️مبادرات 
@kees_chic",812386155471598_1932466730130196,facebook
politics,RT @AJABreaking: عاجل | زعيم #جماعة_الحوثي: إذا استمر القصف والحصار فإن الضربات الأكثر إيلاما ستصل إلى عمق مناطقهم ولا خطوط حمراء,1175464074060152834,twitter
sports,"""كينغ كازو"" يواصل التحدي ويجدد عقده مع يوكوهاما الياباني..
ما هي إنجازات أكبر لاعب يسجل حضوره في مباريات كرة القدم؟ ",812386155471598_2784468718263322,facebook
